plate_map_name	well_position	control_type	cell_type	day	line	clone	cell_density
BR00138700	A01						
BR00138700	A02						
BR00138700	A03						
BR00138700	A04						
BR00138700	A05						
BR00138700	A06						
BR00138700	A07						
BR00138700	A08						
BR00138700	A09						
BR00138700	A10						
BR00138700	A11						
BR00138700	A12						
BR00138700	B01						
BR00138700	B02		Ineuron	20	WT	1	8k
BR00138700	B03		Ineuron	20	WT	1	8k
BR00138700	B04		Ineuron	20	WT	1	8k
BR00138700	B05		Ineuron	20	WT	1	8k
BR00138700	B06		Ineuron	20	WT	1	8k
BR00138700	B07		Ineuron	20	DEL	4	8k
BR00138700	B08		Ineuron	20	DEL	4	17k
BR00138700	B09		Ineuron	20	DEL	2	17k
BR00138700	B10		Ineuron	20	DEL	2	17k
BR00138700	B11		Ineuron	20	DEL	2	17k
BR00138700	B12		Ineuron	20	DEL	2	17k
BR00138700	C01						
BR00138700	C02		Ineuron	20	DEL	1	8k
BR00138700	C03		Ineuron	20	DEL	1	8k
BR00138700	C04		Ineuron	20	DEL	1	8k
BR00138700	C05		Ineuron	20	DEL	1	8k
BR00138700	C06		Ineuron	20	WT	1	8k
BR00138700	C07		Ineuron	20	DEL	4	8k
BR00138700	C08		Ineuron	20	DEL	4	17k
BR00138700	C09		Ineuron	20	WT	3	17k
BR00138700	C10		Ineuron	20	WT	3	17k
BR00138700	C11		Ineuron	20	WT	3	17k
BR00138700	C12		Ineuron	20	WT	3	17k
BR00138700	D01						
BR00138700	D02		Ineuron	20	WT	2	8k
BR00138700	D03		Ineuron	20	WT	2	8k
BR00138700	D04		Ineuron	20	WT	2	8k
BR00138700	D05		Ineuron	20	WT	2	8k
BR00138700	D06		Ineuron	20	WT	1	17k
BR00138700	D07		Ineuron	20	DEL	4	8k
BR00138700	D08		Ineuron	20	DEL	3	17k
BR00138700	D09		Ineuron	20	DEL	3	17k
BR00138700	D10		Ineuron	20	DEL	3	17k
BR00138700	D11		Ineuron	20	DEL	3	17k
BR00138700	D12						
BR00138700	E01		Ineuron	20	WT	1	17k
BR00138700	E02		Ineuron	20	WT	1	17k
BR00138700	E03		Ineuron	20	WT	1	17k
BR00138700	E04		Ineuron	20	WT	1	17k
BR00138700	E05		Ineuron	20	WT	1	8k
BR00138700	E06		Ineuron	20	WT	1	17k
BR00138700	E07		Ineuron	20	DEL	4	8k
BR00138700	E08		Ineuron	20	DEL	2	8k
BR00138700	E09		Ineuron	20	DEL	2	8k
BR00138700	E10		Ineuron	20	DEL	2	8k
BR00138700	E11		Ineuron	20	DEL	2	8k
BR00138700	E12						
BR00138700	F01		Ineuron	20	DEL	1	17k
BR00138700	F02		Ineuron	20	DEL	1	17k
BR00138700	F03		Ineuron	20	DEL	1	17k
BR00138700	F04		Ineuron	20	DEL	1	17k
BR00138700	F05		Ineuron	20	WT	1	8k
BR00138700	F06		Ineuron	20	WT	1	17k
BR00138700	F07		Ineuron	20	DEL	4	17k
BR00138700	F08		Ineuron	20	WT	3	8k
BR00138700	F09		Ineuron	20	WT	3	8k
BR00138700	F10		Ineuron	20	WT	3	8k
BR00138700	F11		Ineuron	20	WT	3	8k
BR00138700	F12						
BR00138700	G01						
BR00138700	G02		Ineuron	20	WT	2	17k
BR00138700	G03		Ineuron	20	WT	2	17k
BR00138700	G04		Ineuron	20	WT	2	17k
BR00138700	G05		Ineuron	20	WT	2	17k
BR00138700	G06		Ineuron	20	WT	1	17k
BR00138700	G07		Ineuron	20	DEL	4	17k
BR00138700	G08		Ineuron	20	DEL	3	8k
BR00138700	G09		Ineuron	20	DEL	3	8k
BR00138700	G10		Ineuron	20	DEL	3	8k
BR00138700	G11		Ineuron	20	DEL	3	8k
BR00138700	G12						
BR00138700	H01						
BR00138700	H02						
BR00138700	H03						
BR00138700	H04						
BR00138700	H05						
BR00138700	H06						
BR00138700	H07						
BR00138700	H08						
BR00138700	H09						
BR00138700	H10						
BR00138700	H11						
BR00138700	H12						
