plate_map_name	well_position	control_type	cell_type	day	line	clone	cell_density
BR00138696	A01						
BR00138696	A02						
BR00138696	A03						
BR00138696	A04						
BR00138696	A05						
BR00138696	A06						
BR00138696	A07						
BR00138696	A08						
BR00138696	A09						
BR00138696	A10						
BR00138696	A11						
BR00138696	A12						
BR00138696	B01						
BR00138696	B02		IPSC	0	WT	1	40k
BR00138696	B03		IPSC	0	WT	1	40k
BR00138696	B04		IPSC	0	WT	1	40k
BR00138696	B05		IPSC	0	WT	1	40k
BR00138696	B06		IPSC	0	WT	4	40k
BR00138696	B07		IPSC	0	DEL	4	40k
BR00138696	B08		IPSC	0	DEL	4	80k
BR00138696	B09		IPSC	0	DEL	2	80k
BR00138696	B10		IPSC	0	DEL	2	80k
BR00138696	B11		IPSC	0	DEL	2	80k
BR00138696	B12		IPSC	0	DEL	2	80k
BR00138696	C01						
BR00138696	C02		IPSC	0	DEL	1	40k
BR00138696	C03		IPSC	0	DEL	1	40k
BR00138696	C04		IPSC	0	DEL	1	40k
BR00138696	C05		IPSC	0	DEL	1	40k
BR00138696	C06		IPSC	0	WT	4	40k
BR00138696	C07		IPSC	0	DEL	4	40k
BR00138696	C08		IPSC	0	DEL	4	80k
BR00138696	C09		IPSC	0	WT	1	80k
BR00138696	C10		IPSC	0	WT	1	80k
BR00138696	C11		IPSC	0	WT	1	80k
BR00138696	C12		IPSC	0	WT	1	80k
BR00138696	D01						
BR00138696	D02		IPSC	0	WT	2	40k
BR00138696	D03		IPSC	0	WT	2	40k
BR00138696	D04		IPSC	0	WT	2	40k
BR00138696	D05		IPSC	0	WT	2	40k
BR00138696	D06		IPSC	0	WT	1	80k
BR00138696	D07		IPSC	0	DEL	4	40k
BR00138696	D08		IPSC	0	DEL	3	80k
BR00138696	D09		IPSC	0	DEL	3	80k
BR00138696	D10		IPSC	0	DEL	3	80k
BR00138696	D11		IPSC	0	DEL	3	80k
BR00138696	D12						
BR00138696	E01		IPSC	0	WT	1	80k
BR00138696	E02		IPSC	0	WT	1	80k
BR00138696	E03		IPSC	0	WT	1	80k
BR00138696	E04		IPSC	0	WT	1	80k
BR00138696	E05		IPSC	0	WT	4	40k
BR00138696	E06		IPSC	0	WT	1	80k
BR00138696	E07		IPSC	0	DEL	4	40k
BR00138696	E08		IPSC	0	DEL	2	40k
BR00138696	E09		IPSC	0	DEL	2	40k
BR00138696	E10		IPSC	0	DEL	2	40k
BR00138696	E11		IPSC	0	DEL	2	40k
BR00138696	E12						
BR00138696	F01		IPSC	0	DEL	1	80k
BR00138696	F02		IPSC	0	DEL	1	80k
BR00138696	F03		IPSC	0	DEL	1	80k
BR00138696	F04		IPSC	0	DEL	1	80k
BR00138696	F05		IPSC	0	WT	4	40k
BR00138696	F06		IPSC	0	WT	1	80k
BR00138696	F07		IPSC	0	DEL	4	80k
BR00138696	F08		IPSC	0	WT	3	40k
BR00138696	F09		IPSC	0	WT	3	40k
BR00138696	F10		IPSC	0	WT	3	40k
BR00138696	F11		IPSC	0	WT	3	40k
BR00138696	F12						
BR00138696	G01						
BR00138696	G02		IPSC	0	WT	2	80k
BR00138696	G03		IPSC	0	WT	2	80k
BR00138696	G04		IPSC	0	WT	2	80k
BR00138696	G05		IPSC	0	WT	2	80k
BR00138696	G06		IPSC	0	WT	1	80k
BR00138696	G07		IPSC	0	DEL	4	80k
BR00138696	G08		IPSC	0	DEL	3	40k
BR00138696	G09		IPSC	0	DEL	3	40k
BR00138696	G10		IPSC	0	DEL	3	40k
BR00138696	G11		IPSC	0	DEL	3	40k
BR00138696	G12						
BR00138696	H01						
BR00138696	H02		IPSC	0	WT	3	80k
BR00138696	H03		IPSC	0	WT	3	80k
BR00138696	H04		IPSC	0	WT	3	80k
BR00138696	H05		IPSC	0	WT	3	80k
BR00138696	H06						
BR00138696	H07						
BR00138696	H08		IPSC	0	WT	4	80k
BR00138696	H09		IPSC	0	WT	4	80k
BR00138696	H10		IPSC	0	WT	4	80k
BR00138696	H11		IPSC	0	WT	4	80k
BR00138696	H12						
