plate_map_name	well_position	control_type	cell_type	day	line	clone	cell_density
BR00138695	A01						
BR00138695	A02						
BR00138695	A03						
BR00138695	A04						
BR00138695	A05						
BR00138695	A06						
BR00138695	A07						
BR00138695	A08						
BR00138695	A09						
BR00138695	A10						
BR00138695	A11						
BR00138695	A12						
BR00138695	B01						
BR00138695	B02		Ineuron	10	WT	1	8k
BR00138695	B03		Ineuron	10	WT	1	8k
BR00138695	B04		Ineuron	10	WT	1	8k
BR00138695	B05		Ineuron	10	WT	1	8k
BR00138695	B06		Ineuron	10	WT	4	8k
BR00138695	B07		Ineuron	10	DEL	4	8k
BR00138695	B08		Ineuron	10	DEL	4	17k
BR00138695	B09		Ineuron	10	DEL	2	17k
BR00138695	B10		Ineuron	10	DEL	2	17k
BR00138695	B11		Ineuron	10	DEL	2	17k
BR00138695	B12		Ineuron	10	DEL	2	17k
BR00138695	C01						
BR00138695	C02		Ineuron	10	DEL	1	8k
BR00138695	C03		Ineuron	10	DEL	1	8k
BR00138695	C04		Ineuron	10	DEL	1	8k
BR00138695	C05		Ineuron	10	DEL	1	8k
BR00138695	C06		Ineuron	10	WT	4	8k
BR00138695	C07		Ineuron	10	DEL	4	8k
BR00138695	C08		Ineuron	10	DEL	4	17k
BR00138695	C09		Ineuron	10	WT	3	17k
BR00138695	C10		Ineuron	10	WT	3	17k
BR00138695	C11		Ineuron	10	WT	3	17k
BR00138695	C12		Ineuron	10	WT	3	17k
BR00138695	D01						
BR00138695	D02		Ineuron	10	WT	2	8k
BR00138695	D03		Ineuron	10	WT	2	8k
BR00138695	D04		Ineuron	10	WT	2	8k
BR00138695	D05		Ineuron	10	WT	2	8k
BR00138695	D06		Ineuron	10	WT	4	17k
BR00138695	D07		Ineuron	10	DEL	4	8k
BR00138695	D08		Ineuron	10	DEL	3	17k
BR00138695	D09		Ineuron	10	DEL	3	17k
BR00138695	D10		Ineuron	10	DEL	3	17k
BR00138695	D11		Ineuron	10	DEL	3	17k
BR00138695	D12						
BR00138695	E01		Ineuron	10	WT	1	17k
BR00138695	E02		Ineuron	10	WT	1	17k
BR00138695	E03		Ineuron	10	WT	1	17k
BR00138695	E04		Ineuron	10	WT	1	17k
BR00138695	E05		Ineuron	10	WT	4	8k
BR00138695	E06		Ineuron	10	WT	4	17k
BR00138695	E07		Ineuron	10	DEL	4	8k
BR00138695	E08		Ineuron	10	DEL	2	8k
BR00138695	E09		Ineuron	10	DEL	2	8k
BR00138695	E10		Ineuron	10	DEL	2	8k
BR00138695	E11		Ineuron	10	DEL	2	8k
BR00138695	E12						
BR00138695	F01		Ineuron	10	DEL	1	17k
BR00138695	F02		Ineuron	10	DEL	1	17k
BR00138695	F03		Ineuron	10	DEL	1	17k
BR00138695	F04		Ineuron	10	DEL	1	17k
BR00138695	F05		Ineuron	10	WT	4	8k
BR00138695	F06		Ineuron	10	WT	4	17k
BR00138695	F07		Ineuron	10	DEL	4	17k
BR00138695	F08		Ineuron	10	WT	3	8k
BR00138695	F09		Ineuron	10	WT	3	8k
BR00138695	F10		Ineuron	10	WT	3	8k
BR00138695	F11		Ineuron	10	WT	3	8k
BR00138695	F12						
BR00138695	G01						
BR00138695	G02		Ineuron	10	WT	2	17k
BR00138695	G03		Ineuron	10	WT	2	17k
BR00138695	G04		Ineuron	10	WT	2	17k
BR00138695	G05		Ineuron	10	WT	2	17k
BR00138695	G06		Ineuron	10	WT	4	17k
BR00138695	G07		Ineuron	10	DEL	4	17k
BR00138695	G08		Ineuron	10	DEL	3	8k
BR00138695	G09		Ineuron	10	DEL	3	8k
BR00138695	G10		Ineuron	10	DEL	3	8k
BR00138695	G11		Ineuron	10	DEL	3	8k
BR00138695	G12						
BR00138695	H01						
BR00138695	H02						
BR00138695	H03						
BR00138695	H04						
BR00138695	H05						
BR00138695	H06						
BR00138695	H07						
BR00138695	H08						
BR00138695	H09						
BR00138695	H10						
BR00138695	H11						
BR00138695	H12						
